team,jersey,player_tm,tm_url,pos,dob,club,market_value,birthplace_city,birthplace_country,birthplace_lat,birthplace_lon
Algeria,1,Melvin Mastil,https://www.transfermarkt.com/melvin-mastil/profil/spieler/534398,Goalkeeper,2000-02-19,FC Stade Nyonnais,250000.0,Thonon-les-Bains,France,46.3731303,6.4779448
Algeria,2,Aïssa Mandi,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,Centre-Back,1991-10-22,LOSC Lille,1000000.0,Châlons-en-Champagne,France,48.9566218,4.3628851
Algeria,3,Achref Abada,https://www.transfermarkt.com/achref-abada/profil/spieler/949929,Centre-Back,1999-06-15,USM Alger,1000000.0,Touggourt,Algeria,33.1048574,6.0667276
Algeria,4,Mohamed Amine Tougai,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Centre-Back,2000-01-22,Esperance Tunis,1300000.0,Algier,Algeria,36.7729333,3.0588445
Algeria,5,Zineddine Belaid,https://www.transfermarkt.com/zineddine-belaid/profil/spieler/625142,Centre-Back,1999-03-20,JS Kabylie,1800000.0,Thénia,Algeria,36.724986,3.556935
Algeria,6,Ramiz Zerrouki,https://www.transfermarkt.com/ramiz-zerrouki/profil/spieler/416660,Defensive Midfield,1998-05-26,FC Twente Enschede,6500000.0,Amsterdam,Netherlands,52.3730796,4.8924534
Algeria,7,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Right Winger,1991-02-21,Al-Ahli SFC,5000000.0,Clichy,France,48.9026,2.30551
Algeria,8,Houssem Aouar,https://www.transfermarkt.com/houssem-aouar/profil/spieler/395693,Attacking Midfield,1998-06-30,Al-Ittihad Club,8000000.0,Lyon,France,45.7578137,4.8320114
Algeria,9,Amine Gouiri,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,Centre-Forward,2000-02-16,Olympique Marseille,28000000.0,Bourgoin-Jallieu,France,45.5860438,5.2772265
Algeria,10,Farès Chaïbi,https://www.transfermarkt.com/fares-chaibi/profil/spieler/855015,Attacking Midfield,2002-11-28,Eintracht Frankfurt,15000000.0,Lyon,France,45.7578137,4.8320114
